epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.482,1.24283,1.61714,1.0273,0.96332,0.30835,0.75022,0.49612,1.16131,2.28299,0.9895,0.000656716,0.000656716,0.000656716
2,37.0955,1.17564,0.96723,1.02498,0.81564,0.79402,0.85874,0.5792,1.14879,1.21334,1.00616,0.00127971,0.00127971,0.00127971
3,50.8135,1.16532,0.91117,1.01849,0.82374,0.81964,0.88909,0.61809,1.12264,0.9856,1.02177,0.00185871,0.00185871,0.00185871
4,64.8585,1.17885,0.8601,1.01256,0.85561,0.88537,0.94027,0.64211,1.14944,0.82876,1.02853,0.001802,0.001802,0.001802
5,78.4086,1.1357,0.79575,1.00583,0.86881,0.90822,0.95592,0.67502,1.08105,0.74075,0.99401,0.001736,0.001736,0.001736
6,87.48,1.10021,0.7543,0.98749,0.86525,0.88405,0.9427,0.65332,1.08149,0.74385,1.00224,0.00167,0.00167,0.00167
7,98.1682,1.09788,0.75311,1.00498,0.85719,0.89328,0.93684,0.65769,1.09823,0.72649,1.00508,0.001604,0.001604,0.001604
8,112.672,1.08584,0.7365,0.98748,0.8765,0.91142,0.95415,0.67034,1.04646,0.70825,0.98656,0.001538,0.001538,0.001538
9,127.505,1.06799,0.68122,0.97282,0.90595,0.87834,0.95538,0.67958,1.0634,0.67015,0.98531,0.001472,0.001472,0.001472
10,141.952,1.05429,0.65111,0.97671,0.89216,0.90944,0.96699,0.68995,1.06364,0.63099,0.98725,0.001406,0.001406,0.001406
11,156.076,1.05802,0.65126,0.97396,0.90054,0.89871,0.95243,0.6886,1.04032,0.62249,0.97996,0.00134,0.00134,0.00134
12,170.323,1.01893,0.64219,0.97052,0.88911,0.92421,0.96324,0.6857,1.04081,0.71232,0.9853,0.001274,0.001274,0.001274
13,184.118,1.03681,0.63038,0.96698,0.89083,0.88901,0.94544,0.67747,1.05592,0.64216,0.98297,0.001208,0.001208,0.001208
14,197.985,1.0239,0.61106,0.96855,0.89893,0.92079,0.9624,0.69716,1.03142,0.62236,0.97777,0.001142,0.001142,0.001142
15,212.08,1.01456,0.61137,0.9715,0.89386,0.90822,0.95691,0.69338,1.04846,0.61218,0.98064,0.001076,0.001076,0.001076
16,226.434,1.0066,0.58425,0.95561,0.92431,0.90502,0.96845,0.69767,1.01144,0.58521,0.97246,0.00101,0.00101,0.00101
17,241.533,1.00558,0.59333,0.96828,0.90926,0.89835,0.95656,0.69683,1.02032,0.59125,0.97415,0.000944,0.000944,0.000944
18,255.646,0.99322,0.57677,0.9545,0.91013,0.91872,0.96854,0.71078,0.99647,0.56043,0.97058,0.000878,0.000878,0.000878
19,269.189,0.98165,0.56781,0.95601,0.89725,0.91142,0.95938,0.70451,1.02346,0.56729,0.97698,0.000812,0.000812,0.000812
20,280.038,0.98509,0.55462,0.95351,0.90012,0.9317,0.96534,0.71227,1.0079,0.56714,0.97422,0.000746,0.000746,0.000746
21,360.483,0.97763,0.55535,0.95932,0.90716,0.91782,0.96722,0.71039,1.01418,0.55446,0.97189,0.00068,0.00068,0.00068
22,374.831,0.9601,0.53599,0.95089,0.91444,0.93528,0.96582,0.70413,1.04282,0.5539,0.97592,0.000614,0.000614,0.000614
23,389.399,0.94774,0.52407,0.93909,0.88548,0.89947,0.95165,0.68474,1.0298,0.60267,0.97493,0.000548,0.000548,0.000548
24,404.325,0.93678,0.52131,0.93919,0.91454,0.92506,0.97047,0.72156,0.9898,0.54036,0.96015,0.000482,0.000482,0.000482
25,414.793,0.94052,0.50433,0.94318,0.92508,0.92248,0.96867,0.71591,0.99361,0.54309,0.96289,0.000416,0.000416,0.000416
26,428.385,0.92201,0.49653,0.93495,0.91491,0.92952,0.97178,0.71976,0.99888,0.52296,0.96418,0.00035,0.00035,0.00035
27,442.798,0.90575,0.48602,0.9313,0.92544,0.92729,0.96724,0.72314,1.00172,0.5102,0.96268,0.000284,0.000284,0.000284
28,456.455,0.90057,0.47523,0.92956,0.92499,0.9349,0.96879,0.71826,0.99655,0.50598,0.96331,0.000218,0.000218,0.000218
29,468.562,0.90407,0.47304,0.93234,0.91554,0.93711,0.96365,0.72207,0.9874,0.50839,0.9582,0.000152,0.000152,0.000152
30,481.703,0.89213,0.4679,0.92369,0.92746,0.93276,0.96723,0.72406,0.97913,0.50018,0.95686,8.6e-05,8.6e-05,8.6e-05
